2011.04.22|BANK_HOLIDAY|Good Friday
2011.04.25|LOCAL_HOLIDAY|Easter Monday
2011.05.02|BANK_HOLIDAY|Early May Bank Holiday
2011.05.30|BANK_HOLIDAY|Spring Bank Holiday
2011.08.29|LOCAL_HOLIDAY|Summer Bank Holiday
2011.12.25|BANK_HOLIDAY|Christmas Day
2011.12.26|BANK_HOLIDAY|Boxing Day
2011.12.27|BANK_HOLIDAY|Bank Holiday
2012.01.01|BANK_HOLIDAY|New Year's Day
2012.01.02|BANK_HOLIDAY|"New Year's Day" observed
2012.04.06|BANK_HOLIDAY|Good Friday
2012.04.09|LOCAL_HOLIDAY|Easter Monday
2012.05.07|BANK_HOLIDAY|Early May Bank Holiday
2012.06.04|BANK_HOLIDAY|Spring Bank Holiday
2012.06.05|BANK_HOLIDAY|The Queen's Diamond Jubilee
2012.08.27|LOCAL_HOLIDAY|Summer Bank Holiday
2012.12.25|BANK_HOLIDAY|Christmas Day
2012.12.26|BANK_HOLIDAY|Boxing Day
2013.01.01|BANK_HOLIDAY|New Year's Day
2013.03.29|BANK_HOLIDAY|Good Friday
2013.04.01|LOCAL_HOLIDAY|Easter Monday
2013.05.06|BANK_HOLIDAY|Early May Bank Holiday
2013.05.27|BANK_HOLIDAY|Spring Bank Holiday
2013.08.26|LOCAL_HOLIDAY|Summer Bank Holiday
2013.12.25|BANK_HOLIDAY|Christmas Day
2013.12.26|BANK_HOLIDAY|Boxing Day
2014.01.01|BANK_HOLIDAY|New Year's Day
2014.04.18|BANK_HOLIDAY|Good Friday
2014.04.21|LOCAL_HOLIDAY|Easter Monday
2014.05.05|BANK_HOLIDAY|Early May Bank Holiday
2014.05.26|BANK_HOLIDAY|Spring Bank Holiday
2014.08.25|LOCAL_HOLIDAY|Summer Bank Holiday
2014.12.25|BANK_HOLIDAY|Christmas Day
2014.12.26|BANK_HOLIDAY|Boxing Day
2015.01.01|BANK_HOLIDAY|New Year's Day
2015.04.03|BANK_HOLIDAY|Good Friday
